antibody_id,origin,pdb_path,vh_vl_angle_deg,interface_n_pairs,interface_mean_dist_A,interface_min_dist_A,vernier_sasa_total,structure_errors,canonical_H1,canonical_H2,canonical_H3,canonical_L1,canonical_L2,canonical_L3,sequence_errors,pI,GRAVY,instability_index,net_charge_pH7,hydro_patch_max9,charge_patch_max7,agg_motifs,deamidation_sites,isomerization_sites,cmc_flags,immuno_risk_level,immuno_tcia_score,immuno_n_high,immuno_n_medium,immuno_n_tolerated,immuno_n_clusters
Canrivitug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Canrivitug.pdb,86.12060898356364,68,4.675703921081117,1.7898403406143188,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.45,-0.273,40.9,-0.9,0.556,4.0,0,3,0,,HIGH,0.7694,17,1,69,4
Carlumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Carlumab.pdb,79.54391586996262,70,4.680052102624791,1.832910418510437,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.72,-0.168,41.9,-2.1,0.667,3.0,0,0,1,hydro_patch_moderate (0.67),HIGH,0.638,7,5,67,4
Casdozokitug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Casdozokitug.pdb,70.37466283149239,65,4.664323260895041,2.105086326599121,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.62,-0.331,37.4,3.0,0.556,2.0,1,2,3,,HIGH,0.7531,12,0,64,5
Cemiplimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Cemiplimab.pdb,87.6217079508355,65,4.698344952719552,2.0924949645996094,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.88,-0.165,32.8,0.9,0.667,2.0,0,2,2,hydro_patch_moderate (0.67),HIGH,0.6465,30,10,11,5
Cenvacibart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Cenvacibart.pdb,86.98539719832998,68,4.74085026550293,2.0973548889160156,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.14,-0.233,35.6,-2.3,0.556,3.0,0,3,1,pI_unusually_low (5.14),HIGH,0.6937,20,7,36,3
Cepeprubart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Cepeprubart.pdb,78.34403518698919,54,4.605011967324862,0.9909112453460693,,,H1-10-1,H2-16-?,H3-4,L1-11-1,L2-7-1,L3-9,,9.03,-0.211,39.8,5.1,0.556,3.0,0,3,0,,HIGH,0.734,20,3,53,4
Cetrelimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Cetrelimab.pdb,82.62324213743445,74,4.554137810351908,1.2726019620895386,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.78,-0.229,43.2,0.7,0.667,3.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.5422,5,5,76,5
Cifurtilimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Cifurtilimab.pdb,78.72012986234546,61,4.619991398106019,1.0755151510238647,,,H1-10-1,H2-16-?,H3-5,L1-11-1,L2-7-1,L3-9,,9.18,-0.286,30.4,6.1,0.667,3.0,0,3,0,hydro_patch_moderate (0.67),HIGH,0.7282,22,4,35,5
Cilgavimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Cilgavimab.pdb,72.94498771706806,84,4.51635314852991,0.44255080819129944,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,7.82,-0.34,40.4,0.8,0.667,3.0,1,1,3,hydro_patch_moderate (0.67),HIGH,0.4978,11,21,39,5
Cinpanemab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Cinpanemab.pdb,84.53166281787426,50,4.61838446897533,2.1416051387786865,,,H1-10-1,H2-16-?,H3-2,L1-11-1,L2-7-1,L3-9,,4.95,-0.295,46.2,-6.0,0.667,4.0,1,1,4,pI_unusually_low (4.95); hydro_patch_moderate (0.67),HIGH,0.6712,27,8,19,4
Cixutumumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Cixutumumab.pdb,78.76146575798764,71,4.611433960677345,0.7545952796936035,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.84,-0.327,43.5,1.0,0.667,4.0,3,0,2,hydro_patch_moderate (0.67),HIGH,0.5111,6,6,71,4
Claseprubart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Claseprubart.pdb,87.30277443808455,73,4.7358486046765575,2.298692464828491,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.22,-0.39,46.1,-3.1,0.556,3.0,0,2,1,pI_unusually_low (5.22),HIGH,0.7222,4,2,76,5
Clesrovimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Clesrovimab.pdb,80.85794709161603,83,4.642970704320652,1.783294439315796,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.33,-0.279,44.1,1.8,0.667,3.0,0,2,2,hydro_patch_moderate (0.67),HIGH,0.6432,36,10,18,4
Cliramitug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Cliramitug.pdb,84.04604198302336,63,4.76672890401577,2.9489636421203613,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.87,-0.261,52.6,3.8,0.778,4.0,0,0,0,hydro_patch_high (0.78),HIGH,0.6932,21,2,27,5
Conatumumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Conatumumab.pdb,83.59070936839188,81,4.7171297628978675,2.3611183166503906,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.63,-0.309,38.7,2.9,0.556,3.0,0,1,0,,HIGH,0.7949,21,1,48,4
Cosibelimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Cosibelimab.pdb,86.40207434542391,68,4.654200778297263,1.2893396615982056,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.74,-0.366,47.2,-2.0,0.778,4.0,0,1,3,hydro_patch_high (0.78),HIGH,0.4521,5,7,41,4
Crebankitug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Crebankitug.pdb,88.00357779125851,62,4.629972239194867,1.0621334314346313,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.14,-0.372,48.7,-5.8,0.667,4.0,0,3,5,pI_unusually_low (5.14); hydro_patch_moderate (0.67),HIGH,0.7,12,2,49,5
Crexavibart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Crexavibart.pdb,89.96479735333996,75,4.719075505826726,1.6408936977386475,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.85,-0.396,37.6,-0.1,0.556,4.0,0,1,1,,HIGH,0.8148,7,0,74,5
Crotedumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Crotedumab.pdb,76.20207470832632,59,4.71348060600061,2.4475274085998535,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.9,-0.354,53.3,-1.1,0.556,3.0,0,3,2,,HIGH,0.7937,18,1,40,4
Crovalimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Crovalimab.pdb,85.68833777426124,79,4.683482129868436,1.78323233127594,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.8,-0.276,33.7,1.0,0.667,3.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.5476,14,7,42,5
Cudarolimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Cudarolimab.pdb,80.56401318697732,74,4.676334208108504,1.1363675594329834,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,6.91,-0.396,46.7,-0.1,0.667,3.0,0,2,2,hydro_patch_moderate (0.67),HIGH,0.7302,4,1,86,1
Dalnicastobart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Dalnicastobart.pdb,79.79817508456615,73,4.663825154025978,2.440617084503174,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.48,-0.305,41.5,2.8,0.556,2.0,0,1,1,,HIGH,0.6068,10,11,44,3
Danburstotug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Danburstotug.pdb,82.1070254894592,84,4.57475633206852,0.6591365337371826,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.91,-0.223,41.2,-0.1,0.556,4.0,2,1,2,,HIGH,0.5382,6,7,48,5
Daratumumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Daratumumab.pdb,84.03768481756076,66,4.656387741657746,1.9124239683151245,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.87,-0.197,44.4,0.8,0.667,3.0,0,3,1,hydro_patch_moderate (0.67),HIGH,0.7737,9,0,67,5
Dargistotug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Dargistotug.pdb,80.4195920682682,75,4.6062419148037295,0.8170615434646606,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,8.3,-0.163,35.2,1.7,0.667,3.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.8148,15,0,84,5
Daxdilimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Daxdilimab.pdb,84.88642819318184,72,4.558514740167712,0.981996476650238,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.31,-0.339,40.0,1.8,0.667,4.0,0,2,1,hydro_patch_moderate (0.67),HIGH,0.4314,1,7,79,3
Dectrekumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Dectrekumab.pdb,84.54188839479343,78,4.6419238632842985,2.0361733436584473,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.87,-0.205,49.1,0.9,0.778,3.0,1,2,2,hydro_patch_high (0.78),HIGH,0.6772,12,3,79,5
Demupitamab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Demupitamab.pdb,85.5901876123159,67,4.652009601515483,1.415466547012329,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.89,-0.249,31.5,-2.0,0.556,3.0,0,0,0,,HIGH,0.7778,30,0,43,5
Denosumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Denosumab.pdb,82.74816732620882,66,4.660753904643217,1.5871816873550415,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.89,-0.264,41.5,3.8,0.667,3.0,0,2,1,hydro_patch_moderate (0.67),HIGH,0.7521,21,1,77,4
Denrakibart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Denrakibart.pdb,70.65269584961013,76,4.674332712748863,2.3949155807495117,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,4.9,-0.266,37.1,-4.2,0.556,3.0,0,0,2,pI_unusually_low (4.90),HIGH,0.7135,17,3,61,4
Dibotatug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Dibotatug.pdb,87.0983301651304,65,4.726549931453954,2.143152952194214,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,9.07,-0.223,43.5,5.8,0.556,3.0,1,3,1,,HIGH,0.5714,9,4,75,3
Diridavumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Diridavumab.pdb,88.27028872387683,66,4.672671506107262,2.30171275138855,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.97,-0.289,42.9,4.9,0.667,2.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.5556,9,6,38,5
Drozitumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Drozitumab.pdb,87.07019246790547,69,4.706707831257852,2.3699450492858887,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.86,-0.294,35.3,-1.1,0.667,4.0,1,3,3,hydro_patch_moderate (0.67),HIGH,0.7436,13,0,47,5
Dupilumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Dupilumab.pdb,72.90355705236469,67,4.7037831573803,2.309579610824585,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.84,-0.294,43.3,0.8,0.556,3.0,1,2,1,,HIGH,0.7145,24,0,51,5
Durvalumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Durvalumab.pdb,83.86521528628141,67,4.635735889888545,1.878475546836853,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.86,-0.334,41.9,0.8,0.556,3.0,0,2,2,,HIGH,0.6502,9,0,82,5
Dusigitumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Dusigitumab.pdb,87.98443819363825,67,4.6845556558666654,1.424242377281189,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.3,-0.434,37.7,1.8,0.556,3.0,1,1,0,,HIGH,0.2963,0,6,72,1
Duvakitug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Duvakitug.pdb,88.8813093080267,70,4.668970463944854,1.5699511766433716,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.45,-0.287,41.6,-2.2,0.556,4.0,0,1,1,pI_unusually_low (5.45),HIGH,0.6889,26,1,34,4
Eblasakimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Eblasakimab.pdb,78.2718613564159,52,4.749573383657032,2.7605228424072266,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-5,,8.61,-0.305,35.5,2.9,0.556,3.0,0,0,1,,HIGH,0.5699,7,5,74,5
Ebrasodebart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Ebrasodebart.pdb,87.82584590826451,79,4.575193320347076,1.2693674564361572,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.84,-0.417,41.9,3.8,0.667,3.0,1,2,1,hydro_patch_moderate (0.67),HIGH,0.2804,1,9,66,3
Ebronucimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Ebronucimab.pdb,86.09313008523611,69,4.627914064896258,1.6426993608474731,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.0,-0.297,48.9,-5.0,0.556,4.0,0,3,2,pI_unusually_low (5.00),HIGH,0.6494,26,6,59,5
Ecleralimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Ecleralimab.pdb,85.54550266614406,66,4.552491576274236,1.6080312728881836,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.62,-0.306,34.6,-2.9,0.667,3.0,1,2,2,hydro_patch_moderate (0.67),HIGH,0.586,19,8,44,5
Efalizumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Efalizumab.pdb,84.73383524500014,74,4.629195608697604,2.08092999458313,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.79,-0.386,33.8,4.1,0.556,3.0,0,1,1,,HIGH,0.7685,18,3,45,5
Efungumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Efungumab.pdb,82.12380468779513,72,4.65568357279323,0.8818871378898621,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.82,-0.205,34.8,1.0,0.667,3.0,0,3,2,hydro_patch_moderate (0.67),HIGH,0.5935,21,11,9,5
Eldelumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Eldelumab.pdb,83.77418040036787,65,4.684159115960176,2.3783419132232666,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.79,-0.272,40.6,0.8,0.889,3.0,1,3,3,hydro_patch_high (0.89),HIGH,0.7025,18,4,66,4
Elgemtumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Elgemtumab.pdb,87.38898624601575,73,4.621200770371748,1.5428394079208374,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.35,-0.281,45.0,1.8,0.556,3.0,0,3,1,,HIGH,0.7953,12,1,67,4
Eltivutabart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Eltivutabart.pdb,80.72539048725957,71,4.639777068181762,1.3825149536132812,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,9.33,-0.447,38.3,8.0,0.556,3.0,0,0,0,,HIGH,0.6413,15,6,47,5
Emapalumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Emapalumab.pdb,85.13872508291833,73,4.610525550712786,1.454135537147522,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.69,-0.406,51.2,-2.0,0.556,4.0,0,3,4,,HIGH,0.8148,4,0,85,1
Emiltatug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Emiltatug.pdb,85.9053601835956,70,4.7354767118446555,2.624830484390259,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.86,-0.284,37.8,0.8,0.556,3.0,0,2,2,,HIGH,0.8148,7,0,81,5
Enapotamab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Enapotamab.pdb,86.63475113113235,65,4.688214527342909,2.222317934036255,,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,8.35,-0.219,39.1,1.8,0.778,3.0,0,2,1,hydro_patch_high (0.78),HIGH,0.6825,11,1,82,4
Enfortumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Enfortumab.pdb,87.3120733565192,67,4.7215789211339665,2.4741406440734863,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.35,-0.244,46.7,1.8,0.667,3.0,0,3,1,hydro_patch_moderate (0.67),HIGH,0.7778,10,1,63,4
Enlonstobart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Enlonstobart.pdb,87.20329441656098,54,4.672454475589887,1.8520209789276123,,,H1-10-1,H2-16-?,H3-4,L1-11-1,L2-7-1,L3-9,,9.18,-0.328,40.9,5.8,0.778,3.0,0,2,2,hydro_patch_high (0.78),HIGH,0.7551,31,0,49,5
Enokizumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Enokizumab.pdb,81.10942159511345,79,4.545389686911195,0.6655386686325073,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.17,-0.367,36.1,-1.1,0.556,3.0,0,0,0,,HIGH,0.5721,18,10,39,5
Enoticumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Enoticumab.pdb,83.53604524215345,68,4.605121286865132,0.9186828136444092,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.82,-0.375,45.4,1.0,0.667,3.0,0,2,1,hydro_patch_moderate (0.67),HIGH,0.7656,20,2,68,5
Enuzovimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Enuzovimab.pdb,87.38434133076807,74,4.776231532857038,2.9134042263031006,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.56,-0.169,47.8,-0.2,0.667,3.0,0,3,1,hydro_patch_moderate (0.67),HIGH,0.4561,4,13,62,4
Erenumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Erenumab.pdb,83.73496071906096,68,4.724442673053871,2.7634618282318115,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,9.1,-0.264,43.7,5.9,0.778,3.0,0,2,4,hydro_patch_high (0.78),HIGH,0.6995,17,5,53,5
Ersodetug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Ersodetug.pdb,79.17029141861909,77,4.708793081232226,1.985373616218567,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.87,-0.379,42.1,1.1,0.556,3.0,0,2,3,,HIGH,0.6765,28,3,42,5
Erzotabart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Erzotabart.pdb,84.50870752241201,62,4.640849250725338,1.5932953357696533,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.62,-0.271,44.1,2.7,0.667,3.0,0,1,0,hydro_patch_moderate (0.67),HIGH,0.6239,10,11,45,3
Etesevimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Etesevimab.pdb,85.80101967888338,82,4.702702639466625,2.7652533054351807,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.85,-0.184,49.9,0.8,0.667,3.0,0,2,1,hydro_patch_moderate (0.67),HIGH,0.7101,7,1,78,4
Evalstotug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Evalstotug.pdb,84.00437270369291,67,4.643089964544985,2.2714130878448486,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.35,-0.231,48.4,2.0,0.556,2.0,0,2,3,,HIGH,0.784,12,0,56,5
Evinacumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Evinacumab.pdb,81.8004750533736,68,4.7249408759874925,1.5316011905670166,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.57,-0.254,39.6,-0.2,0.667,3.0,0,4,2,hydro_patch_moderate (0.67),HIGH,0.6078,10,2,45,3
Evolocumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Evolocumab.pdb,88.19812374322625,61,4.641004496650753,1.7851492166519165,,,H1-10-1,H2-16-?,H3-6,L1-11-1,L2-7-1,L3-9,,7.85,-0.368,32.9,0.9,0.667,4.0,0,3,0,hydro_patch_moderate (0.67),HIGH,0.5105,7,8,52,4
Evunzekibart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Evunzekibart.pdb,85.80413926252601,77,4.635705406604941,1.7949767112731934,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.62,-0.266,44.0,2.9,0.556,3.0,0,2,1,,HIGH,0.6341,16,5,51,4
Exbivirumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Exbivirumab.pdb,86.39138007396429,64,4.710366674904816,2.2788140773773193,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.37,-0.196,43.0,2.1,0.778,4.0,1,3,4,hydro_patch_high (0.78),HIGH,0.617,20,8,35,5
Exerenibart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Exerenibart.pdb,83.52594102526707,81,4.603260882787392,0.5253512859344482,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.37,-0.255,43.3,-2.1,0.667,3.0,0,3,2,pI_unusually_low (5.37); hydro_patch_moderate (0.67),HIGH,0.7333,22,2,55,5
Fasinumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Fasinumab.pdb,82.89064625584211,76,4.642339385764499,1.4785106182098389,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.92,-0.371,41.9,-1.2,0.667,4.0,0,0,1,hydro_patch_moderate (0.67),HIGH,0.5933,24,17,19,5
Felmetatug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Felmetatug.pdb,83.82239424673283,66,4.70254580527544,1.8872838020324707,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.84,-0.278,44.7,3.8,0.556,2.0,0,0,0,,HIGH,0.7901,15,0,74,5
Fezakinumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Fezakinumab.pdb,89.46212863239725,74,4.529687904143139,1.4243412017822266,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.91,-0.366,40.0,-0.1,0.556,4.0,0,1,3,,HIGH,0.4708,10,4,52,5
Fianlimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Fianlimab.pdb,85.03380029497643,67,4.6713509765314445,2.0692527294158936,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.84,-0.29,43.8,3.8,0.778,3.0,0,2,2,hydro_patch_high (0.78),HIGH,0.674,25,8,40,5
Figitumumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Figitumumab.pdb,82.10064087676224,70,4.588741794312932,1.7814875841140747,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.76,-0.339,45.5,4.0,0.556,3.0,1,3,2,,HIGH,0.6898,12,6,41,4
Firivumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Firivumab.pdb,78.54945717259373,77,4.592107938744172,1.5153604745864868,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.37,-0.25,48.5,1.9,0.556,2.0,0,1,1,,HIGH,0.6228,17,15,14,4
Firsekibart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Firsekibart.pdb,86.20370279934521,80,4.6310972192700035,1.8492395877838135,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.29,-0.36,39.1,-2.2,0.667,3.0,1,2,2,pI_unusually_low (5.29); hydro_patch_moderate (0.67),HIGH,0.3733,6,16,45,5
Fiztasovimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Fiztasovimab.pdb,84.80325612503361,75,4.591943939040127,1.0876744985580444,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.32,-0.269,23.4,1.8,0.556,4.0,1,2,1,,HIGH,0.6431,20,3,35,5
Flanvotumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Flanvotumab.pdb,83.40452809520062,73,4.585653018951416,1.6061067581176758,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.61,-0.257,37.2,2.7,0.556,3.0,0,0,0,,HIGH,0.6383,11,7,63,4
