antibody_id,reason_category,format,genetics,target,phase,companies,conditions_active,conditions_approved,notes,has_heavy_sequence,has_light_sequence
Umizortamig1,other,Tetraspecific scFv-IgG-scFv-scFv (Bispecific entry 1),,EGFRvIII;CD3E,TBC,TBC,TBC,TBC,scFv-IgG1 portion. Joint entry with Umizortamig2 (tetraspecific),True,True
Umizortamig2,other,Tetraspecific scFv-IgG-scFv-scFv (Bispecific entry 2),,PDL1/CD274;TNFRSF9/CD137/4-1BB,TBC,TBC,TBC,TBC,scFv-scFv portion. Joint entry with Umizortamig2 (tetraspecific),True,True
Vadastuximab,other,Whole mAb ADC,Chimeric,SIGLEC3/CD33/p67,Phase-III,Seattle Genetics,,,ADC with talirine,True,True
Valanafusp,other,Whole mAb Fusion,,INSR/CD220,Phase-II,ArmaGen Technologies,Mucopolysaccharidosis I,,,True,True
Velaprumig,other,Bispecific Mixed mAb and scFv,Chimeric and/or humanised;Chimeric and/or humanised,ALB;CD40LG/CD154,TBC,TBC,TBC,TBC,TBC,True,True
Veligrotug,other,Whole mAb,Chimeric,IGF1R/CD221,Phase-III,ImmunoGen;sanofi-aventis;Viridian Therapeutics;Zenas BioPharma,Graves ophthalmopathy,,,True,True
Vensobafusp,other,Fusion Protein (whole mAb with protein),,C5,Phase-II,Kira Pharmaceuticals,Paroxysmal nocturnal haemoglobinuria,,,True,True
Verenafusp,other,Fab Fusion Protein,Chimeric,INSR/CD220,Phase-II/III,GENERIUM Pharmaceuticals,Mucopolysaccharidosis II,,,True,True
Vilobelimab,other,Whole mAb,Chimeric,C5,Approved,InflaRX,Hidradenitis suppurativa;Inflammation;Microscopic polyangiitis;Pyoderma gangrenosum;Sepsis;Systemic inflammatory response syndrome;Squamous cell cancer,COVID-19 pneumonia,,True,True
Volociximab,other,Whole mAb,Chimeric,ITGA5B1,Phase-II,Abbott Biotherapeutics Corp;Biogen Idec;IVERIC bio;National Cancer Institute (USA);PDL BioPharma,,,,True,True
Zemocimig,other,Bispecific mAb,Humanised;Humanised,F9a;F10,TBC,TBC,TBC,TBC,TBC,True,True
Zinlirvimab,felinised,Whole mAb,Genetically human,HIV-1 gp120 V3,Phase-II,Gilead,HIV-1 infections;AIDS,,VL sequence truncation prevents 3D modelling with ABodyBuilder2,True,True
Zolbetuximab,other,Whole mAb,Chimeric,CLDN18,Approved,Ganymed Pharmaceuticals,Oesophageal cancer;Pancreatic cancer,Gastric cancer,Zolbetuximab and Claudiximab are the same mAb,True,True
Zuberitamab,other,Whole mAb,Chimeric,MS4A1/CD20,Phase-II,Zhejiang Hisun Pharmaceutical,,,Rituximab biosimilar,True,True
