antibody_name,class_evidence_tier,class_ada_status,ada_value_display,verification_status,verification_matched_pcts,verification_unmatched,verification_source,ada_value_extraction,ada_value_annotation,canonical_provenance,evidence_source,citation_urls,pmids_extracted,data_record_key
Ozoralizumab,A,incidence_reported,"29.2% (with MTX, OHZORA trial); 44.3% (without MTX, NATSUZORA trial)",verified_text_match,"[29.2, 44.3]",[],pmid:41717779,manually_verified,,rehabilitated_forward_search,forward_pubmed_search_abstract_confirmed,https://pubmed.ncbi.nlm.nih.gov/41717779/,41717779,ozoralizumab
Palivizumab,B,incidence_reported,"0.7% (Synagis group), 1.1% (placebo group)",unverified_source_403_inaccessible,[],[],https://www.medcentral.com/drugs/monograph/16441-398034/palivizumab-intramuscular,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.medcentral.com/drugs/monograph/16441-398034/palivizumab-intramuscular,,palivizumab
Panitumumab,B,incidence_reported,"1.8% binding antibodies (20/1124), 0.2% neutralizing antibodies (2/1124)",verified_text_match,"[1.8, 0.2]",[],https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3231982/,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3231982/,,panitumumab
Pembrolizumab,B,incidence_reported,"1.8% ADA incidence, 0.4% neutralizing antibodies",verified_text_match,"[1.8, 0.4]",[],https://jitc.bmj.com/content/12/1/e008266,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://jitc.bmj.com/content/12/1/e008266,,pembrolizumab
Pertuzumab,B,incidence_reported,3% (13/389 patients in CLEOPATRA study),unverified_source_403_inaccessible,[],[],https://www.oncologynewscentral.com/drugs/monograph/161165-313007/pertuzumab-intravenous,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.oncologynewscentral.com/drugs/monograph/161165-313007/pertuzumab-intravenous,,pertuzumab
Ramucirumab,B,incidence_reported,3% (86/2890 patients),unverified_source_403_inaccessible,[],[],https://www.oncologynewscentral.com/drugs/monograph/166215-315007/ramucirumab-intravenous,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.oncologynewscentral.com/drugs/monograph/166215-315007/ramucirumab-intravenous,,ramucirumab
Ranibizumab,A,incidence_reported,0-5% pre-treatment immunoreactivity,verified_fda_label_dailymed_spl,[],[5.0],https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125156s105lbl.pdf,manually_verified,,reliable_merged_108,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125156s105lbl.pdf,,ranibizumab
Ravulizumab,A,incidence_reported,0.5%,verified_pmc_fulltext,[0.5],[0.5],PMC10188401,manually_verified,,rehabilitated_forward_search,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/36890354/,36890354,ravulizumab
Reslizumab,A,incidence_reported,"4.39% (95% CI: 2.88-6.20) in meta-analysis, 5.4% treatment-emergent ADA in FDA data",verified_text_match,"[4.39, 5.4]",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,,reslizumab
Retifanlimab,A,incidence_reported,2.8%,verified_dailymed_spl,[2.8],[2.8],DailyMed:zynyz:setid=109648d0-d30a-42fc-8273-39cb1540a751,manually_verified,,rehabilitated_forward_search,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/38649621/,38649621,retifanlimab
Rilonacept,B,incidence_reported,43% of patients developed anti-rilonacept antibodies,unverified_source_403_inaccessible,[],[],https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/rilonacept,ai_extracted_from_real_url_human_review_needed,"43% from fusion-protein trap domain; biologically plausible for IL-1 trap but original source is ScienceDirect general topic page, not primary trial paper",reliable_merged_108,批量升级至A类标准,https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/rilonacept,,rilonacept
Risankizumab,B,incidence_reported,"24% (263/1079 patients by Week 52), range 14.1-31% in systematic review",verified_fda_label_dailymed_spl,[],"[24.0, 31.0]",https://www.rxabbvie.com/pdf/skyrizi_pi.pdf,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.rxabbvie.com/pdf/skyrizi_pi.pdf,,risankizumab
Rituximab,B,incidence_reported,4-11%,unverified_source_403_inaccessible,[],[],https://academic.oup.com/rheumatology/article/62/7/2601/6825306,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://academic.oup.com/rheumatology/article/62/7/2601/6825306,,rituximab
Romosozumab,B,incidence_reported,"17.6% binding antibodies, 2.9% neutralizing antibodies (by month 9)",verified_text_match,"[17.6, 2.9]",[],https://www.ncbi.nlm.nih.gov/books/NBK585139/,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.ncbi.nlm.nih.gov/books/NBK585139/,,romosozumab
Sacituzumab,A,incidence_reported,1.1%,verified_dailymed_spl,[1.1],[1.1],DailyMed:trodelvy:setid=57a597d2-03f0-472e-b148-016d7169169d,manually_verified,,rehabilitated_forward_search,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/37633306/,37633306,sacituzumab
Sarilumab,A,incidence_reported,"4.0% with 200 mg dose, 5.7% with 150 mg dose (FDA label data)",verified_fda_label_dailymed_spl,[],"[4.0, 5.7]",https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761037s001lbl.pdf,manually_verified,,reliable_merged_108,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761037s001lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761037s013lbl.pdf,,sarilumab
Satralizumab,B,incidence_reported,"41% in combination therapy study, 71% in monotherapy study (EMA data)",unverified_clinical_trial_or_ema_source,[],"[41.0, 71.0]",EMA-only approval (Enspryng); 41%/71% from EMA EPAR PDF not accessible in DailyMed,ai_extracted_from_real_url_human_review_needed,High rates (41%/71%) reflect small NMO trials with EMA EPAR data; combination vs monotherapy context required for interpretation,reliable_merged_108,批量升级至A类标准,https://www.ema.europa.eu/en/documents/product-information/enspryng-epar-product-information_en.pdf,,satralizumab
Secukinumab,B,incidence_reported,"<1% ADA incidence at week 52, 0.4% treatment-emergent ADAs over 3 years",unverified_source_403_inaccessible,[],[],https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/secukinumab,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/secukinumab,,secukinumab
Siltuximab,A,incidence_reported,0.2% overall incidence of positive anti-therapeutic antibodies,verified_text_match,[0.2],[],https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/125496Orig1s000ClinPharmR.pdf,manually_verified,,reliable_merged_108,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/125496Orig1s000ClinPharmR.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125496s000lbl.pdf,,siltuximab
Tarlatamab,A,incidence_reported,8%,verified_text_match,[8.0],[],pmid:39589690,manually_verified,,rehabilitated_forward_search,pmc_fulltext_confirmed,https://pubmed.ncbi.nlm.nih.gov/39589690/,39589690,tarlatamab
Teprotumumab,B,incidence_reported,"2.3% ADA incidence (4 patients) in phase II/III trials, or 0% in specific placebo-controlled study",verified_text_match,[2.3],[],https://link.springer.com/article/10.1007/s40265-022-01804-1,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://link.springer.com/article/10.1007/s40265-022-01804-1,,teprotumumab
Tezepelumab,B,incidence_reported,"4.9% ADA positive in tezepelumab group (vs 8.3% placebo), 5% in FDA data (29/601 patients), 2.91% in systematic review",unverified_source_403_inaccessible,[],[],https://www.nejm.org/doi/full/10.1056/NEJMoa2034975,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.nejm.org/doi/full/10.1056/NEJMoa2034975,,tezepelumab
Tildrakizumab,A,incidence_reported,"6.5% TE-POS with 100 mg, 8.2% with 200 mg; neutralizing antibodies 2.5% (100 mg) and 3.2% (200 mg)",verified_partial_primary_value_confirmed,"[6.5, 2.5, 3.2]",[8.2],https://pmc.ncbi.nlm.nih.gov/articles/PMC6972989/,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC6972989/,,tildrakizumab
Tisotumab,B,incidence_reported,5.7% ADA incidence in recurrent/metastatic cervical cancer patients,verified_text_match,[5.7],[],https://www.pfizermedical.com/tivdak/clinical-pharmacology,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.pfizermedical.com/tivdak/clinical-pharmacology,,tisotumab
Tixagevimab,A,incidence_reported,"4.1% for tixagevimab component (2 participants), 6.1% for AZD7442 combination (3 participants)",verified_text_match,"[4.1, 6.1]",[],pmid:40799036,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/40799036/,40799036,tixagevimab
Tocilizumab,A,incidence_reported,"2% positive anti-tocilizumab antibodies (46 patients), 1% neutralizing antibodies (30 patients)",verified_partial_primary_value_confirmed,[2.0],[1.0],https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/125276s092lbl.pdf,manually_verified,,reliable_merged_108,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/125276s092lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/125276s114lbl.pdf,,tocilizumab
Toripalimab,A,incidence_reported,"Animal: 10% ADA in cynomolgus monkeys; Human: 33.3% (0.3 mg/kg), 42.9% (1 mg/kg), 16.7% (3 mg/kg) ADA incidence",verified_text_match,"[10.0, 33.3, 42.9, 16.7]",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC8789657/,ai_extracted_from_real_url_human_review_needed,Values include animal (cynomolgus monkey) and dose-ranging phase-I human data; routine clinical ADA rate may differ from these early-phase values,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC8789657/,,toripalimab
Tralokinumab,A,incidence_reported,"0.5‑1.2% ADA incidence across dosing regimens (asthma trials), 1.4% ADA in atopic dermatitis trials, 0.1% neutralizing antibodies",verified_pmc_fulltext,"[1.2, 1.4, 0.1]","[1.2, 1.4, 0.1]",PMC6520328,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/30649752/,30649752,tralokinumab
Trastuzumab,A,incidence_reported,<8% ADA incidence (range consistent with other anticancer biologics),verified_pubmed_fulltext,[8.0],[8.0],PMC6682857,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC5061540/,,trastuzumab
Tremelimumab,B,incidence_reported,"1.8‑16.7% ADA incidence range; specific studies: 11% (HIMALAYA), 14% (POSEIDON), 16.1% monotherapy, 7.3‑7.4% combination therapy",unverified_source_403_inaccessible,[],[],https://www.onclive.com/view/anti-drug-antibodies-do-not-affect-durvalumab-alone-with-tremelimumab-in-unresectable-hcc,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.onclive.com/view/anti-drug-antibodies-do-not-affect-durvalumab-alone-with-tremelimumab-in-unresectable-hcc,,tremelimumab
Ustekinumab,A,incidence_reported,2.3% incidence (27/1154 patients) in IM-UNITI trial through week 44; 4.6% (23/505) in ulcerative colitis trial; 6-12.4% in psoriasis/PsA; 2.9-4.6% in IBD,verified_partial_primary_value_confirmed,"[2.3, 4.6, 4.6]",[12.4],https://pmc.ncbi.nlm.nih.gov/articles/PMC10219534/,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC10219534/,,ustekinumab
Vedolizumab,A,incidence_reported,"2.4% ADA with continuous treatment (1513 patients), 22.1% ADA after treatment interruption and re‑treatment (240 patients)",verified_text_match,"[2.4, 22.1]",[],pmid:33908636,ai_extracted_from_real_url_human_review_needed,22.1% only applies to patients who interrupted then restarted therapy; continuous-treatment rate is 2.4%,reliable_merged_108,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/33908636/,33908636,vedolizumab
Zenocutuzumab,B,incidence_reported,5% antidrug antibody incidence,verified_text_match,[5.0],[],https://oncodaily.com/oncolibrary/zenocutuzumab-nrj-new-paper-alert,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://oncodaily.com/oncolibrary/zenocutuzumab-nrj-new-paper-alert,,zenocutuzumab
