record_id,antibody_name,evidence_tier,ada_status,ada_value_display,canonical_provenance,evidence_quality,skip_automatic_ada_expansion,citation_urls,pmids_extracted,data_record_key
inn:tafasitamab,Tafasitamab,A,incidence_reported,10%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/32333849/,32333849,tafasitamab
inn:tafolecimab,Tafolecimab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/35326524/,35326524,tafolecimab
inn:tagitanlimab,Tagitanlimab,A,incidence_reported,<1%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/33837950/,33837950,tagitanlimab
inn:tarlatamab,Tarlatamab,A,incidence_reported,11.7%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/35326846/,35326846,tarlatamab
inn:tebentafusp,Tebentafusp,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/35106386/,35106386,tebentafusp
inn:teclistamab,Teclistamab,A,incidence_reported,<2%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/34402163/,34402163,teclistamab
inn:teprotumumab,Teprotumumab,B,incidence_reported,"2.3% ADA incidence (4 patients) in phase II/III trials, or 0% in specific placebo-controlled study",reliable_merged_108,medium,True,https://link.springer.com/article/10.1007/s40265-022-01804-1,,teprotumumab
inn:tezepelumab,Tezepelumab,B,incidence_reported,"4.9% ADA positive in tezepelumab group (vs 8.3% placebo), 5% in FDA data (29/601 patients), 2.91% in systematic review",reliable_merged_108,high,True,https://www.nejm.org/doi/full/10.1056/NEJMoa2034975,,tezepelumab
inn:tildrakizumab,Tildrakizumab,A,incidence_reported,"6.5% TE-POS with 100 mg, 8.2% with 200 mg; neutralizing antibodies 2.5% (100 mg) and 3.2% (200 mg)",reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC6972989/,,tildrakizumab
inn:timigutuzumab,Timigutuzumab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/34540688/,34540688,timigutuzumab
inn:tisotumab,Tisotumab,B,incidence_reported,5.7% ADA incidence in recurrent/metastatic cervical cancer patients,reliable_merged_108,high,True,https://www.pfizermedical.com/tivdak/clinical-pharmacology,,tisotumab
inn:tixagevimab,Tixagevimab,A,incidence_reported,"4.1% for tixagevimab component (2 participants), 6.1% for AZD7442 combination (3 participants)",reliable_merged_108,high,True,https://pubmed.ncbi.nlm.nih.gov/40799036/,40799036,tixagevimab
inn:tocilizumab,Tocilizumab,A,incidence_reported,"2% positive anti-tocilizumab antibodies (46 patients), 1% neutralizing antibodies (30 patients)",reliable_merged_108,high,True,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/125276s092lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/125276s114lbl.pdf,,tocilizumab
inn:toripalimab,Toripalimab,A,incidence_reported,"Animal: 10% ADA in cynomolgus monkeys; Human: 33.3% (0.3 mg/kg), 42.9% (1 mg/kg), 16.7% (3 mg/kg) ADA incidence",reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC8789657/,,toripalimab
inn:tralokinumab,Tralokinumab,A,incidence_reported,"0.5‑1.2% ADA incidence across dosing regimens (asthma trials), 1.4% ADA in atopic dermatitis trials, 0.1% neutralizing antibodies",reliable_merged_108,high,True,https://pubmed.ncbi.nlm.nih.gov/30649752/,30649752,tralokinumab
inn:trastuzumab,Trastuzumab,A,incidence_reported,<8% ADA incidence (range consistent with other anticancer biologics),reliable_merged_108,medium,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC5061540/,,trastuzumab
inn:tremelimumab,Tremelimumab,B,incidence_reported,"1.8‑16.7% ADA incidence range; specific studies: 11% (HIMALAYA), 14% (POSEIDON), 16.1% monotherapy, 7.3‑7.4% combination therapy",reliable_merged_108,high,True,https://www.onclive.com/view/anti-drug-antibodies-do-not-affect-durvalumab-alone-with-tremelimumab-in-unresectable-hcc,,tremelimumab
inn:ustekinumab,Ustekinumab,A,incidence_reported,2.3% incidence (27/1154 patients) in IM-UNITI trial through week 44; 4.6% (23/505) in ulcerative colitis trial; 6-12.4% in psoriasis/PsA; 2.9-4.6% in IBD,reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10219534/,,ustekinumab
inn:vedolizumab,Vedolizumab,A,incidence_reported,"2.4% ADA with continuous treatment (1513 patients), 22.1% ADA after treatment interruption and re‑treatment (240 patients)",reliable_merged_108,high,True,https://pubmed.ncbi.nlm.nih.gov/33908636/,33908636,vedolizumab
inn:vilobelimab,Vilobelimab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/33619099/,33619099,vilobelimab
inn:vunakizumab,Vunakizumab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/31138300/,31138300,vunakizumab
inn:zenocutuzumab,Zenocutuzumab,B,incidence_reported,5% antidrug antibody incidence,reliable_merged_108,medium_high,True,https://oncodaily.com/oncolibrary/zenocutuzumab-nrj-new-paper-alert,,zenocutuzumab
