antibody_id,reason_category,format,genetics,target,phase,companies,conditions_active,conditions_approved,notes,has_heavy_sequence,has_light_sequence,subcategory
Vadastuximab,other,Whole mAb ADC,Chimeric,SIGLEC3/CD33/p67,Phase-III,Seattle Genetics,,,ADC with talirine,True,True,adc
Valanafusp,other,Whole mAb Fusion,,INSR/CD220,Phase-II,ArmaGen Technologies,Mucopolysaccharidosis I,,,True,True,fc_fusion
Velaprumig,other,Bispecific Mixed mAb and scFv,Chimeric and/or humanised;Chimeric and/or humanised,ALB;CD40LG/CD154,TBC,TBC,TBC,TBC,TBC,True,True,chimeric
Veligrotug,other,Whole mAb,Chimeric,IGF1R/CD221,Phase-III,ImmunoGen;sanofi-aventis;Viridian Therapeutics;Zenas BioPharma,Graves ophthalmopathy,,,True,True,chimeric
Vensobafusp,other,Fusion Protein (whole mAb with protein),,C5,Phase-II,Kira Pharmaceuticals,Paroxysmal nocturnal haemoglobinuria,,,True,True,fc_fusion
Verenafusp,other,Fab Fusion Protein,Chimeric,INSR/CD220,Phase-II/III,GENERIUM Pharmaceuticals,Mucopolysaccharidosis II,,,True,True,fc_fusion
Vilobelimab,other,Whole mAb,Chimeric,C5,Approved,InflaRX,Hidradenitis suppurativa;Inflammation;Microscopic polyangiitis;Pyoderma gangrenosum;Sepsis;Systemic inflammatory response syndrome;Squamous cell cancer,COVID-19 pneumonia,,True,True,chimeric
Volociximab,other,Whole mAb,Chimeric,ITGA5B1,Phase-II,Abbott Biotherapeutics Corp;Biogen Idec;IVERIC bio;National Cancer Institute (USA);PDL BioPharma,,,,True,True,chimeric
Zemocimig,other,Bispecific mAb,Humanised;Humanised,F9a;F10,TBC,TBC,TBC,TBC,TBC,True,True,bispecific_other
Zolbetuximab,other,Whole mAb,Chimeric,CLDN18,Approved,Ganymed Pharmaceuticals,Oesophageal cancer;Pancreatic cancer,Gastric cancer,Zolbetuximab and Claudiximab are the same mAb,True,True,chimeric
Zuberitamab,other,Whole mAb,Chimeric,MS4A1/CD20,Phase-II,Zhejiang Hisun Pharmaceutical,,,Rituximab biosimilar,True,True,chimeric
